id,word,lemma,upos,feats,head,deprel,segment_id,is_prompt
2,",",",",PUNCT,_,4,punct,65,1
3,а,а,CCONJ,_,4,cc,65,1
4,коробочки,коробочка,NOUN,Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur,1,conj,65,1
5,с,с,ADP,_,6,case,65,1
6,сахаром,сахар,NOUN,Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing,4,nmod,65,1
7,?,?,PUNCT,_,1,punct,65,1
1,у,у,ADP,_,2,case,66,0
2,медведя,медведь,NOUN,Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing,0,root,66,0
1,угу,угу,INTJ,_,0,root,67,1
1,Что,что,PRON,Case=Nom,2,nsubj,68,1
2,произошло,произойти,VERB,Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,68,1
3,?,?,PUNCT,_,2,punct,68,1
1,он,он,PRON,Case=Nom|Gender=Masc|Number=Sing|Person=3,2,nsubj,69,0
2,высыпал,высыпать,VERB,Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,0,root,69,0
3,вишню,вишня,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,2,obj,69,0
1,угу,угу,INTJ,_,0,root,70,1
1,Что,что,PRON,Case=Acc,2,obj,71,1
2,делает,делать,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,0,root,71,1
3,медведь,медведь,NOUN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,2,nsubj,71,1
4,?,?,PUNCT,_,2,punct,71,1
1,высыпает,высыпать,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,0,root,72,0
2,вишню,вишня,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,1,obj,72,0
1,Куда,куда,ADV,Degree=Pos,3,advmod,73,1
2,медведь,медведь,NOUN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,3,nsubj,73,1
3,высыпает,высыпать,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,0,root,73,1
4,ягоды,ягода,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur,3,obj,73,1
5,?,?,PUNCT,_,3,punct,73,1
1,на,на,ADP,_,2,case,74,0
2,сковородку,сковородка,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,0,root,74,0
