group,chain_size
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,8
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,5
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,12
bilingual,1
bilingual,10
bilingual,1
bilingual,6
bilingual,1
bilingual,8
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,13
bilingual,1
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,2
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,7
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,10
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,12
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,2
bilingual,1
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,9
bilingual,1
bilingual,1
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,10
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,3
bilingual,1
bilingual,7
bilingual,1
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,11
bilingual,1
bilingual,1
bilingual,14
bilingual,1
